lipids	converted_lipid_name
CL 76:9|CL 18:1_20:3_18:2_20:3	CL 76:9(x)|CL 18:1_20:3_18:2_20:3(x2)
CL 77:2|CL 16:0_28:0_15:1_18:1	CL 77:2(x)|CL 16:0_28:0_15:1_18:1(x2)
CL 77:5|CL 39:2_38:3	CL 77:5(x)|CL 39:2_38:3(x2)
CL 77:6|CL 38:3_39:3	CL 77:6(x)|CL 38:3_39:3(x2)
CL 77:7	CL 77:7
CL 77:8	CL 77:8
CL 77:8|CL 38:4_39:4	CL 77:8(x)|CL 38:4_39:4(x2)
CL 77:9|CL 39:4_38:5	CL 77:9(x)|CL 39:4_38:5(x2)
CL 78:13|CL 18:2_20:3_20:3_20:5	CL 78:13(x)|CL 18:2_20:3_20:3_20:5(x2)
CL 78:3|CL 18:0_24:0_18:1_18:2	CL 78:3(x)|CL 18:0_24:0_18:1_18:2(x2)
CL 78:5|CL 36:1_42:4	CL 78:5(x)|CL 36:1_42:4(x2)
CL 78:5|CL 37:2_41:3	CL 78:5(x)|CL 37:2_41:3(x2)
CL 78:6|CL 24:0_18:2_18:2_18:2	CL 78:6(x)|CL 24:0_18:2_18:2_18:2(x2)
CL 79:10|CL 39:4_40:6	CL 79:10(x)|CL 39:4_40:6(x2)
CL 79:6|CL 36:0_43:6	CL 79:6(x)|CL 36:0_43:6(x2)
CL 79:7|CL 38:3_41:4	CL 79:7(x)|CL 38:3_41:4(x2)
CL 79:8|CL 39:3_40:5	CL 79:8(x)|CL 39:3_40:5(x2)
CL 79:9|CL 39:4_40:5	CL 79:9(x)|CL 39:4_40:5(x2)
CL 80:10|CL 36:3_44:7	CL 80:10(x)|CL 36:3_44:7(x2)
CL 80:10|CL 38:4_42:6	CL 80:10(x)|CL 38:4_42:6(x2)
CL 80:11|CL 18:1_18:1_22:3_22:6	CL 80:11(x)|CL 18:1_18:1_22:3_22:6(x2)
CL 80:12|CL 18:0_18:0_22:6_22:6	CL 80:12(x)|CL 18:0_18:0_22:6_22:6(x2)
CL 80:13|CL 18:0_20:4_20:4_22:5	CL 80:13(x)|CL 18:0_20:4_20:4_22:5(x2)
