lipids	converted_lipid_name
CL 70:5|CL 16:0_18:2_18:1_18:2	CL 70:5(m)|CL 16:0_18:2_18:1_18:2(m2)
CL 70:5|CL 34:2_36:3	CL 70:5(m)|CL 34:2_36:3(m2)
CL 70:6|CL 16:0_18:2_18:2_18:2	CL 70:6(m)|CL 16:0_18:2_18:2_18:2(m2)
CL 70:6|CL 16:1_18:1_18:2_18:2	CL 70:6(m)|CL 16:1_18:1_18:2_18:2(m2)
CL 70:6|CL 34:2_36:4	CL 70:6(m)|CL 34:2_36:4(m2)
CL 70:7|CL 16:1_18:2_18:2_18:2	CL 70:7(m)|CL 16:1_18:2_18:2_18:2(m2)
CL 70:7|CL 34:3_36:4	CL 70:7(m)|CL 34:3_36:4(m2)
CL 70:8|CL 16:2_18:2_18:2_18:2	CL 70:8(m)|CL 16:2_18:2_18:2_18:2(m2)
CL 70:8|CL 34:4_36:4	CL 70:8(m)|CL 34:4_36:4(m2)
CL 71:1|CL 18:0_18:0_18:0_17:1	CL 71:1(m)|CL 18:0_18:0_18:0_17:1(m2)
CL 71:5|CL 17:1_18:1_18:1_18:2	CL 71:5(m)|CL 17:1_18:1_18:1_18:2(m2)
CL 71:6|CL 17:0_18:2_18:2_18:2	CL 71:6(m)|CL 17:0_18:2_18:2_18:2(m2)
CL 71:7|CL 17:1_18:2_18:2_18:2	CL 71:7(m)|CL 17:1_18:2_18:2_18:2(m2)
CL 71:7|CL 35:3_36:4	CL 71:7(m)|CL 35:3_36:4(m2)
CL 71:8|CL 17:2_18:2_18:2_18:2	CL 71:8(m)|CL 17:2_18:2_18:2_18:2(m2)
CL 72:10|CL 14:0_18:2_18:2_22:6	CL 72:10(m)|CL 14:0_18:2_18:2_22:6(m2)
CL 72:11|CL 32:3_40:8	CL 72:11(m)|CL 32:3_40:8(m2)
CL 72:4|CL 34:0_38:4	CL 72:4(m)|CL 34:0_38:4(m2)
