lipids	converted_lipid_name
CL 76:14|CL 38:7_38:7	CL 76:14(m)|CL 38:7_38:7(m2)
CL 76:4|CL 37:0_39:4	CL 76:4(m)|CL 37:0_39:4(m2)
CL 76:6|CL 34:1_42:5	CL 76:6(m)|CL 34:1_42:5(m2)
CL 76:9|CL 18:1_18:2_20:3_20:3	CL 76:9(m)|CL 18:1_18:2_20:3_20:3(m2)
CL 76:9|CL 36:3_40:6	CL 76:9(m)|CL 36:3_40:6(m2)
CL 77:7|CL 35:0_42:7	CL 77:7(m)|CL 35:0_42:7(m2)
CL 77:8|CL 35:2_42:6	CL 77:8(m)|CL 35:2_42:6(m2)
CL 78:11|CL 18:1_20:3_18:1_22:6	CL 78:11(m)|CL 18:1_20:3_18:1_22:6(m2)
CL 78:11|CL 38:4_40:7	CL 78:11(m)|CL 38:4_40:7(m2)
CL 78:12|CL 18:1_20:3_18:2_22:6	CL 78:12(m)|CL 18:1_20:3_18:2_22:6(m2)
CL 78:12|CL 38:4_40:8	CL 78:12(m)|CL 38:4_40:8(m2)
CL 78:13|CL 18:2_20:3_18:2_22:6	CL 78:13(m)|CL 18:2_20:3_18:2_22:6(m2)
CL 78:13|CL 18:2_20:3_20:4_20:4	CL 78:13(m)|CL 18:2_20:3_20:4_20:4(m2)
CL 78:13|CL 38:5_40:8	CL 78:13(m)|CL 38:5_40:8(m2)
CL 78:14|CL 38:6_40:8	CL 78:14(m)|CL 38:6_40:8(m2)
CL 78:15|CL 38:7_40:8	CL 78:15(m)|CL 38:7_40:8(m2)
CL 78:5|CL 37:1_41:4	CL 78:5(m)|CL 37:1_41:4(m2)
CL 78:9|CL 18:0_20:3_18:0_22:6	CL 78:9(m)|CL 18:0_20:3_18:0_22:6(m2)
CL 79:6|CL 36:0_43:6	CL 79:6(m)|CL 36:0_43:6(m2)
CL 80:0|CL 16:0_18:0_18:0_28:0	CL 80:0(m)|CL 16:0_18:0_18:0_28:0(m2)
CL 80:11|CL 18:0_22:5_18:0_22:6	CL 80:11(m)|CL 18:0_22:5_18:0_22:6(m2)
CL 80:13|CL 36:3_44:10	CL 80:13(m)|CL 36:3_44:10(m2)
CL 80:14|CL 18:1_22:6_18:1_22:6	CL 80:14(m)|CL 18:1_22:6_18:1_22:6(m2)
CL 80:14|CL 18:2_18:2_22:5_22:5	CL 80:14(m)|CL 18:2_18:2_22:5_22:5(m2)
CL 80:14|CL 36:4_44:10	CL 80:14(m)|CL 36:4_44:10(m2)
CL 80:14|CL 40:6_40:8	CL 80:14(m)|CL 40:6_40:8(m2)
CL 80:15|CL 18:1_22:6_18:2_22:6	CL 80:15(m)|CL 18:1_22:6_18:2_22:6(m2)
CL 80:16|CL 18:2_22:6_18:2_22:6	CL 80:16(m)|CL 18:2_22:6_18:2_22:6(m2)
CL 80:16|CL 36:4_44:12	CL 80:16(m)|CL 36:4_44:12(m2)
CL 80:6|CL 36:1_44:5	CL 80:6(m)|CL 36:1_44:5(m2)
CL 81:3|CL 28:0_17:1_18:1_18:1	CL 81:3(m)|CL 28:0_17:1_18:1_18:1(m2)
CL 82:10|CL 16:0_24:0_20:4_22:6	CL 82:10(m)|CL 16:0_24:0_20:4_22:6(m2)
CL 82:11|CL 40:5_42:6	CL 82:11(m)|CL 40:5_42:6(m2)
CL 82:17|CL 40:8_42:9	CL 82:17(m)|CL 40:8_42:9(m2)
CL 82:6|CL 18:0_22:6_18:0_24:0	CL 82:6(m)|CL 18:0_22:6_18:0_24:0(m2)
CL 82:7|CL 43:3_39:4	CL 82:7(m)|CL 43:3_39:4(m2)
CL 82:9|CL 41:3_41:6	CL 82:9(m)|CL 41:3_41:6(m2)
CL 84:17|CL 18:0_22:6_22:5_22:6	CL 84:17(m)|CL 18:0_22:6_22:5_22:6(m2)
CL 84:20|CL 18:2_22:6_22:6_22:6	CL 84:20(m)|CL 18:2_22:6_22:6_22:6(m2)
CL 85:10|CL 28:0_17:2_20:4_20:4	CL 85:10(m)|CL 28:0_17:2_20:4_20:4(m2)
CL 85:9|CL 15:0_28:0_20:3_22:6	CL 85:9(m)|CL 15:0_28:0_20:3_22:6(m2)
CL 86:11|CL 24:0_18:1_22:5_22:5	CL 86:11(m)|CL 24:0_18:1_22:5_22:5(m2)
CL 86:13|CL 24:0_18:1_22:6_22:6	CL 86:13(m)|CL 24:0_18:1_22:6_22:6(m2)
CL 86:20|CL 22:3_20:5_22:6_22:6	CL 86:20(m)|CL 22:3_20:5_22:6_22:6(m2)
CL 88:19|CL 22:4_22:5_22:5_22:5	CL 88:19(m)|CL 22:4_22:5_22:5_22:5(m2)
CL 89:13|CL 28:0_17:1_22:6_22:6	CL 89:13(m)|CL 28:0_17:1_22:6_22:6(m2)
CL 90:13|CL 24:0_22:4_22:4_22:5	CL 90:13(m)|CL 24:0_22:4_22:4_22:5(m2)
