lipids	converted_lipid_name
DG 38:2|DG 18:1_20:1	DG 38:2(m)|DG 18:1_20:1(m2)
DG 38:3|DG 18:0_20:3	DG 38:3(m)|DG 18:0_20:3(m2)
DG 38:3|DG 18:0_20:3	DG 38:3(m)|DG 18:0_20:3(m2)
DG 38:4	DG 38:4
DG 38:4|DG 18:0_20:4	DG 38:4(m)|DG 18:0_20:4(m2)
DG 38:4|DG 18:0_20:4	DG 38:4(m)|DG 18:0_20:4(m2)
DG 38:5|DG 16:0_22:5	DG 38:5(m)|DG 16:0_22:5(m2)
DG 38:6|DG 16:0_22:6	DG 38:6(m)|DG 16:0_22:6(m2)
DG 38:7	DG 38:7
DG 38:8	DG 38:8
DG 39:2	DG 39:2
DG 39:3	DG 39:3
DG 40:0|DG 18:0_22:0	DG 40:0(m)|DG 18:0_22:0(m2)
DG 40:2	DG 40:2
DG 40:3|DG 12:0_28:3	DG 40:3(m)|DG 12:0_28:3(m2)
DG 40:5|DG 16:0_24:5	DG 40:5(m)|DG 16:0_24:5(m2)
DG 40:6	DG 40:6
DG 40:6|DG 16:0_24:6	DG 40:6(m)|DG 16:0_24:6(m2)
DG 40:6|DG 18:0_22:6	DG 40:6(m)|DG 18:0_22:6(m2)
DG 40:7	DG 40:7
DG 40:7|DG 18:1_22:6	DG 40:7(m)|DG 18:1_22:6(m2)
DG 40:8|DG 18:2_22:6	DG 40:8(m)|DG 18:2_22:6(m2)
DG 41:2	DG 41:2
DG 41:3	DG 41:3
DG 41:7	DG 41:7
DG 42:5	DG 42:5
DG 42:5|DG 18:0_24:5	DG 42:5(m)|DG 18:0_24:5(m2)
DG 42:6	DG 42:6
DG 43:2	DG 43:2
DG 43:3	DG 43:3
DG 43:5	DG 43:5
DG 43:6	DG 43:6
DG 44:6	DG 44:6
DG 44:6|DG 18:0_26:6	DG 44:6(m)|DG 18:0_26:6(m2)
DG 45:10	DG 45:10
DG 45:5|DG 15:2_30:3	DG 45:5(m)|DG 15:2_30:3(m2)
DG 45:7	DG 45:7
DG 46:10	DG 46:10
DG 46:4|DG 14:1_32:3	DG 46:4(m)|DG 14:1_32:3(m2)
DG 46:6|DG 12:0_34:6	DG 46:6(m)|DG 12:0_34:6(m2)
DG 46:7	DG 46:7
DG 46:9	DG 46:9
DG 47:10	DG 47:10
DG 47:11	DG 47:11
DG 47:12	DG 47:12
DG 47:3	DG 47:3
DG 48:12	DG 48:12
DG 49:7|DG 13:1_36:6	DG 49:7(m)|DG 13:1_36:6(m2)
DG 50:11	DG 50:11
DG 50:13	DG 50:13
DG 50:6	DG 50:6
DG 51:11	DG 51:11
DG 51:14	DG 51:14
DG 51:8|DG 15:2_36:6	DG 51:8(m)|DG 15:2_36:6(m2)
DG 52:13	DG 52:13
DG O-31:2|DG O-16:0_15:2	DGO 31:2(m)|DG O-16:0_15:2(m2)
DG O-31:3|DG O-16:1_15:2	DGO 31:3(m)|DG O-16:1_15:2(m2)
DG O-36:3|DG O-16:2_20:1	DGO 36:3(m)|DG O-16:2_20:1(m2)
DG O-38:7|DG O-16:1_22:6	DGO 38:7(m)|DG O-16:1_22:6(m2)
DG O-39:2|DG O-25:1_14:1	DGO 39:2(m)|DG O-25:1_14:1(m2)
DG O-40:1|DG O-26:0_14:1	DGO 40:1(m)|DG O-26:0_14:1(m2)
DGCC 34:1	DGCC 34:1
